Results of Photometric1

Plate	Well	Type	Group	Sample	Meas. time [s]	Abs	Wavelength	
1	 B08	Unknown	Assay	Coc_0005 1/6	18,81	0,177787	750	
1	 B08	Unknown	Assay	Coc_0005 1/6	18,98	0,261084	682	
1	 C08	Unknown	Assay	Coc_0005 2/6	19,29	0,173727	750	
1	 C08	Unknown	Assay	Coc_0005 2/6	19,46	0,239936	682	
1	 D08	Unknown	Assay	Coc_0005 3/6	19,76	0,164851	750	
1	 D08	Unknown	Assay	Coc_0005 3/6	19,94	0,224614	682	
1	 E08	Unknown	Assay	Coc_0005 4/6	20,24	0,205844	750	
1	 E08	Unknown	Assay	Coc_0005 4/6	20,42	0,29279	682	
1	 F08	Unknown	Assay	Coc_0005 5/6	20,72	0,176832	750	
1	 F08	Unknown	Assay	Coc_0005 5/6	20,89	0,252362	682	
1	 G08	Unknown	Assay	Coc_0005 6/6	21,19	0,144836	750	
1	 G08	Unknown	Assay	Coc_0005 6/6	21,37	0,209209	682	
1	 B09	Unknown	Assay	Coc_0003 1/6	21,94	0,163151	750	
1	 B09	Unknown	Assay	Coc_0003 1/6	22,12	0,223897	682	
1	 C09	Unknown	Assay	Coc_0003 2/6	22,42	0,253741	750	
1	 C09	Unknown	Assay	Coc_0003 2/6	22,6	0,366905	682	
1	 D09	Unknown	Assay	Coc_0003 3/6	22,9	0,162932	750	
1	 D09	Unknown	Assay	Coc_0003 3/6	23,07	0,225399	682	
1	 E09	Unknown	Assay	Coc_0003 4/6	23,38	0,157977	750	
1	 E09	Unknown	Assay	Coc_0003 4/6	23,55	0,218935	682	
1	 F09	Unknown	Assay	Coc_0003 5/6	23,85	0,188704	750	
1	 F09	Unknown	Assay	Coc_0003 5/6	24,03	0,264815	682	
1	 G09	Unknown	Assay	Coc_0003 6/6	24,33	0,15878	750	
1	 G09	Unknown	Assay	Coc_0003 6/6	24,51	0,223109	682	
1	 B10	Unknown	Assay	Coc_0001 1/6	25,08	0,151907	750	
1	 B10	Unknown	Assay	Coc_0001 1/6	25,26	0,195918	682	
1	 C10	Unknown	Assay	Coc_0001 2/6	25,56	0,152065	750	
1	 C10	Unknown	Assay	Coc_0001 2/6	25,73	0,186301	682	
1	 D10	Unknown	Assay	Coc_0001 3/6	26,03	0,176291	750	
1	 D10	Unknown	Assay	Coc_0001 3/6	26,21	0,215509	682	
1	 E10	Unknown	Assay	Coc_0001 4/6	26,51	0,185328	750	
1	 E10	Unknown	Assay	Coc_0001 4/6	26,69	0,225014	682	
1	 F10	Unknown	Assay	Coc_0001 5/6	26,99	0,159402	750	
1	 F10	Unknown	Assay	Coc_0001 5/6	27,16	0,201089	682	
1	 G10	Unknown	Assay	Coc_0001 6/6	27,47	0,129713	750	
1	 G10	Unknown	Assay	Coc_0001 6/6	27,64	0,170234	682	
1	 B11	Unknown	Assay	Coc_0000 1/6	28,22	0,101724	750	
1	 B11	Unknown	Assay	Coc_0000 1/6	28,39	0,111763	682	
1	 C11	Unknown	Assay	Coc_0000 2/6	28,69	0,104251	750	
1	 C11	Unknown	Assay	Coc_0000 2/6	28,87	0,112339	682	
1	 D11	Unknown	Assay	Coc_0000 3/6	29,17	0,0502893	750	
1	 D11	Unknown	Assay	Coc_0000 3/6	29,34	0,0455911	682	
1	 E11	Unknown	Assay	Coc_0000 4/6	29,65	0,1148	750	
1	 E11	Unknown	Assay	Coc_0000 4/6	29,82	0,126439	682	
1	 F11	Unknown	Assay	Coc_0000 5/6	30,12	0,122544	750	
1	 F11	Unknown	Assay	Coc_0000 5/6	30,3	0,1388	682	
1	 G11	Unknown	Assay	Coc_0000 6/6	30,6	0,119159	750	
1	 G11	Unknown	Assay	Coc_0000 6/6	30,78	0,133714	682	

