Results of Photometric1

Plate	Well	Type	Group	Sample	Meas. time [s]	Abs	Wavelength	
1	 G08	Unknown	Assay	Coc_0005 6/6	21,2	0,12778	750	
1	 G08	Unknown	Assay	Coc_0005 6/6	21,38	0,163241	682	
1	 B09	Unknown	Assay	Coc_0003 1/6	21,95	0,107723	750	
1	 B09	Unknown	Assay	Coc_0003 1/6	22,13	0,13255	682	
1	 C09	Unknown	Assay	Coc_0003 2/6	22,43	0,117482	750	
1	 C09	Unknown	Assay	Coc_0003 2/6	22,6	0,158472	682	
1	 D09	Unknown	Assay	Coc_0003 3/6	22,91	0,136317	750	
1	 D09	Unknown	Assay	Coc_0003 3/6	23,08	0,178122	682	
1	 E09	Unknown	Assay	Coc_0003 4/6	23,38	0,144358	750	
1	 E09	Unknown	Assay	Coc_0003 4/6	23,56	0,180623	682	
1	 F09	Unknown	Assay	Coc_0003 5/6	23,86	0,0767228	750	
1	 F09	Unknown	Assay	Coc_0003 5/6	24,04	0,0998319	682	
1	 G09	Unknown	Assay	Coc_0003 6/6	24,34	0,131077	750	
1	 G09	Unknown	Assay	Coc_0003 6/6	24,51	0,169891	682	
1	 B10	Unknown	Assay	Coc_0001 1/6	25,09	0,126547	750	
1	 B10	Unknown	Assay	Coc_0001 1/6	25,26	0,156925	682	
1	 C10	Unknown	Assay	Coc_0001 2/6	25,56	0,126673	750	
1	 C10	Unknown	Assay	Coc_0001 2/6	25,74	0,15704	682	
1	 D10	Unknown	Assay	Coc_0001 3/6	26,04	0,109209	750	
1	 D10	Unknown	Assay	Coc_0001 3/6	26,22	0,13237	682	
1	 E10	Unknown	Assay	Coc_0001 4/6	26,52	0,125518	750	
1	 E10	Unknown	Assay	Coc_0001 4/6	26,69	0,143674	682	
1	 F10	Unknown	Assay	Coc_0001 5/6	27	0,0852837	750	
1	 F10	Unknown	Assay	Coc_0001 5/6	27,17	0,103439	682	
1	 G10	Unknown	Assay	Coc_0001 6/6	27,47	0,104169	750	
1	 G10	Unknown	Assay	Coc_0001 6/6	27,65	0,131162	682	
1	 B11	Unknown	Assay	Coc_0000 1/6	28,22	0,0895031	750	
1	 B11	Unknown	Assay	Coc_0000 1/6	28,4	0,0977595	682	
1	 C11	Unknown	Assay	Coc_0000 2/6	28,7	0,146456	750	
1	 C11	Unknown	Assay	Coc_0000 2/6	28,87	0,148989	682	
1	 D11	Unknown	Assay	Coc_0000 3/6	29,18	0,146725	750	
1	 D11	Unknown	Assay	Coc_0000 3/6	29,35	0,16987	682	
1	 E11	Unknown	Assay	Coc_0000 4/6	29,65	0,0765625	750	
1	 E11	Unknown	Assay	Coc_0000 4/6	29,83	0,078676	682	
1	 F11	Unknown	Assay	Coc_0000 5/6	30,13	0,185106	750	
1	 F11	Unknown	Assay	Coc_0000 5/6	30,3	0,160805	682	
1	 G11	Unknown	Assay	Coc_0000 6/6	30,61	0,132858	750	
1	 G11	Unknown	Assay	Coc_0000 6/6	30,78	0,16207	682	

