Results of Photometric1

Plate	Well	Type	Group	Sample	Meas. time [s]	Abs	Wavelength	
1	 B02	Unknown	Assay	Sce_0010 1/6	0	0,636972	750	
1	 B02	Unknown	Assay	Sce_0010 1/6	0,17	0,747005	682	
1	 C02	Unknown	Assay	Sce_0010 2/6	0,47	0,639728	750	
1	 C02	Unknown	Assay	Sce_0010 2/6	0,65	0,778724	682	
1	 D02	Unknown	Assay	Sce_0010 3/6	0,95	0,637446	750	
1	 D02	Unknown	Assay	Sce_0010 3/6	1,13	0,75602	682	
1	 E02	Unknown	Assay	Sce_0010 4/6	1,43	0,742295	750	
1	 E02	Unknown	Assay	Sce_0010 4/6	1,6	0,896806	682	
1	 F02	Unknown	Assay	Sce_0010 5/6	1,9	0,669384	750	
1	 F02	Unknown	Assay	Sce_0010 5/6	2,08	0,814304	682	
1	 G02	Unknown	Assay	Sce_0010 6/6	2,38	0,803734	750	
1	 G02	Unknown	Assay	Sce_0010 6/6	2,56	0,974805	682	
1	 B03	Unknown	Assay	Sce_0005 1/6	3,13	0,632716	750	
1	 B03	Unknown	Assay	Sce_0005 1/6	3,31	0,698484	682	
1	 C03	Unknown	Assay	Sce_0005 2/6	3,61	0,516417	750	
1	 C03	Unknown	Assay	Sce_0005 2/6	3,78	0,56394	682	
1	 D03	Unknown	Assay	Sce_0005 3/6	4,09	0,536011	750	
1	 D03	Unknown	Assay	Sce_0005 3/6	4,26	0,60673	682	
1	 E03	Unknown	Assay	Sce_0005 4/6	4,56	0,511595	750	
1	 E03	Unknown	Assay	Sce_0005 4/6	4,74	0,547974	682	
1	 F03	Unknown	Assay	Sce_0005 5/6	5,04	0,542724	750	
1	 F03	Unknown	Assay	Sce_0005 5/6	5,21	0,620732	682	
1	 G03	Unknown	Assay	Sce_0005 6/6	5,52	0,385266	750	
1	 G03	Unknown	Assay	Sce_0005 6/6	5,69	0,446389	682	
1	 B04	Unknown	Assay	Sce_0003 1/6	6,27	0,223147	750	
1	 B04	Unknown	Assay	Sce_0003 1/6	6,44	0,234536	682	
1	 C04	Unknown	Assay	Sce_0003 2/6	6,74	0,418408	750	
1	 C04	Unknown	Assay	Sce_0003 2/6	6,92	0,438406	682	
1	 D04	Unknown	Assay	Sce_0003 3/6	7,22	0,304681	750	
1	 D04	Unknown	Assay	Sce_0003 3/6	7,4	0,32391	682	
1	 E04	Unknown	Assay	Sce_0003 4/6	7,7	0,394898	750	
1	 E04	Unknown	Assay	Sce_0003 4/6	7,87	0,430938	682	
1	 F04	Unknown	Assay	Sce_0003 5/6	8,17	0,420887	750	
1	 F04	Unknown	Assay	Sce_0003 5/6	8,35	0,458314	682	
1	 G04	Unknown	Assay	Sce_0003 6/6	8,65	0,382145	750	
1	 G04	Unknown	Assay	Sce_0003 6/6	8,83	0,418868	682	
1	 B05	Unknown	Assay	Sce_0001 1/6	9,4	0,306415	750	
1	 B05	Unknown	Assay	Sce_0001 1/6	9,58	0,321734	682	
1	 C05	Unknown	Assay	Sce_0001 2/6	9,88	0,373786	750	
1	 C05	Unknown	Assay	Sce_0001 2/6	10,05	0,38109	682	
1	 D05	Unknown	Assay	Sce_0001 3/6	10,36	0,336204	750	
1	 D05	Unknown	Assay	Sce_0001 3/6	10,53	0,356839	682	
1	 E05	Unknown	Assay	Sce_0001 4/6	10,83	0,34939	750	
1	 E05	Unknown	Assay	Sce_0001 4/6	11,01	0,372351	682	
1	 F05	Unknown	Assay	Sce_0001 5/6	11,31	0,366338	750	
1	 F05	Unknown	Assay	Sce_0001 5/6	11,48	0,367692	682	
1	 G05	Unknown	Assay	Sce_0001 6/6	11,79	0,435861	750	
1	 G05	Unknown	Assay	Sce_0001 6/6	11,96	0,464568	682	
1	 B06	Unknown	Assay	Sce_0000 1/6	12,54	0,496928	750	
1	 B06	Unknown	Assay	Sce_0000 1/6	12,71	0,618019	682	
1	 C06	Unknown	Assay	Sce_0000 2/6	13,01	0,217355	750	
1	 C06	Unknown	Assay	Sce_0000 2/6	13,19	0,241633	682	
1	 D06	Unknown	Assay	Sce_0000 3/6	13,49	0,20534	750	
1	 D06	Unknown	Assay	Sce_0000 3/6	13,67	0,220134	682	
1	 E06	Unknown	Assay	Sce_0000 4/6	13,97	0,139554	750	
1	 E06	Unknown	Assay	Sce_0000 4/6	14,14	0,146157	682	
1	 F06	Unknown	Assay	Sce_0000 5/6	14,45	0,247177	750	
1	 F06	Unknown	Assay	Sce_0000 5/6	14,62	0,270556	682	
1	 G06	Unknown	Assay	Sce_0000 6/6	14,92	0,258046	750	
1	 G06	Unknown	Assay	Sce_0000 6/6	15,1	0,276178	682	
1	 B07	Unknown	Assay	Coc_0010 1/6	15,67	0,148149	750	
1	 B07	Unknown	Assay	Coc_0010 1/6	15,85	0,209871	682	
1	 C07	Unknown	Assay	Coc_0010 2/6	16,15	0,120207	750	
1	 C07	Unknown	Assay	Coc_0010 2/6	16,32	0,154263	682	
1	 D07	Unknown	Assay	Coc_0010 3/6	16,63	0,192589	750	
1	 D07	Unknown	Assay	Coc_0010 3/6	16,8	0,288267	682	
1	 E07	Unknown	Assay	Coc_0010 4/6	17,1	0,18754	750	
1	 E07	Unknown	Assay	Coc_0010 4/6	17,28	0,2752	682	
1	 F07	Unknown	Assay	Coc_0010 5/6	17,58	0,193471	750	
1	 F07	Unknown	Assay	Coc_0010 5/6	17,76	0,290822	682	
1	 G07	Unknown	Assay	Coc_0010 6/6	18,06	0,19078	750	
1	 G07	Unknown	Assay	Coc_0010 6/6	18,23	0,273936	682	
1	 B08	Unknown	Assay	Coc_0005 1/6	18,81	0,245938	750	
1	 B08	Unknown	Assay	Coc_0005 1/6	18,98	0,36249	682	
1	 C08	Unknown	Assay	Coc_0005 2/6	19,29	0,254035	750	
1	 C08	Unknown	Assay	Coc_0005 2/6	19,46	0,391065	682	
1	 D08	Unknown	Assay	Coc_0005 3/6	19,76	0,188236	750	
1	 D08	Unknown	Assay	Coc_0005 3/6	19,94	0,279266	682	
1	 E08	Unknown	Assay	Coc_0005 4/6	20,24	0,193907	750	
1	 E08	Unknown	Assay	Coc_0005 4/6	20,41	0,296993	682	
1	 F08	Unknown	Assay	Coc_0005 5/6	20,72	0,231143	750	
1	 F08	Unknown	Assay	Coc_0005 5/6	20,89	0,345516	682	
1	 G08	Unknown	Assay	Coc_0005 6/6	21,19	0,21166	750	
1	 G08	Unknown	Assay	Coc_0005 6/6	21,37	0,310888	682	
1	 B09	Unknown	Assay	Coc_0003 1/6	21,94	0,178924	750	
1	 B09	Unknown	Assay	Coc_0003 1/6	22,12	0,242346	682	
1	 C09	Unknown	Assay	Coc_0003 2/6	22,42	0,206801	750	
1	 C09	Unknown	Assay	Coc_0003 2/6	22,6	0,299421	682	
1	 D09	Unknown	Assay	Coc_0003 3/6	22,9	0,199519	750	
1	 D09	Unknown	Assay	Coc_0003 3/6	23,07	0,288119	682	
1	 E09	Unknown	Assay	Coc_0003 4/6	23,37	0,191628	750	
1	 E09	Unknown	Assay	Coc_0003 4/6	23,55	0,270441	682	
1	 F09	Unknown	Assay	Coc_0003 5/6	23,85	0,164723	750	
1	 F09	Unknown	Assay	Coc_0003 5/6	24,03	0,228599	682	
1	 G09	Unknown	Assay	Coc_0003 6/6	24,33	0,204367	750	
1	 G09	Unknown	Assay	Coc_0003 6/6	24,5	0,27809	682	
1	 B10	Unknown	Assay	Coc_0001 1/6	25,08	0,160067	750	
1	 B10	Unknown	Assay	Coc_0001 1/6	25,25	0,187864	682	
1	 C10	Unknown	Assay	Coc_0001 2/6	25,56	0,201256	750	
1	 C10	Unknown	Assay	Coc_0001 2/6	25,73	0,236272	682	
1	 D10	Unknown	Assay	Coc_0001 3/6	26,03	0,158357	750	
1	 D10	Unknown	Assay	Coc_0001 3/6	26,21	0,179404	682	
